table_code,city,table_nbr,place_let,gender,pol_interest ,occupation,partic_past,responsabilite_pol ,grand_débat,rens_pre_eco ,rens_pre_dem ,rens_pre_fis ,rens_pre_etat ,theme,int_pre_eco ,int_pre_dem ,int_pre_fis ,int_pre_etat ,int_post_eco ,int_post_dem ,int_post_fis ,int_post_etat ,know_pre_eco ,know_pre_dem ,know_pre_fis ,know_pre_etat ,know_post_eco ,know_post_dem ,know_post_fis ,know_post_etat ,cx_pre_eco ,cx_pre_dem ,cx_pre_fis ,cx_pre_etat ,cx_post_eco ,cx_post_dem ,cx_post_fis ,cx_post_etat ,conf_trans_pre ,conf_trans_post ,conf_prise_pre ,conf_prise_post ,temps_exp_pre,oser_pre,ecoute_pre,perso_pre,sincere_pre,diff_op_pre,revendic_pre,diff_consensus_pre,change_avis_pre,respect_pre,concret_pre,discuss_pre,desaccord_aime_pre,desaccord_stimule_pre,homogen_pre,confiance_pre,temps_exp_post,oser_post,ecoute_post,perso_post,sincere_post,diff_op_post,revendic_post,diff_consensus_post,change_avis_post,respect_post,concret_post,discuss_post,desaccord_aime_post,desaccord_stimule_post,homogen_post,confiance_post,chgt_avis,deplu_quali,surplis_quali,sat_level_gen,sat_level_rythme,sat_level_exp,sat_level_info,sat_level_qual,doubl,appris,systematisation,double_answer,theme_diff,
STR1,strasbourg,1,a,0,10,autre,2,NA,0,NA,NA,NA,NA,ESP,4,10,4,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
STR1,strasbourg,1,b,1,NA,sans_emploi,0,0,1,NA,NA,NA,0,ESP,NA,NA,NA,10,NA,NA,NA,10,NA,NA,NA,10,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,7,NA,6,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
STR1,strasbourg,1,c,0,9,artisan,2,0,2,9,8,4,9,ESP,9,8,8,8,9,9,9,9,9,9,9,9,9,7,7,9,9,9,9,9,8,8,8,8,5,5,5,4,7,0,0,2,9,10,0,0,0,9,5,10,0,10,0,5,9,0,0,0,9,8,7,0,0,10,2,10,0,9,0,9,0,"nouveaute, ministre, etat desprit, madame","diversite, osmose",8,6,9,7,9,8,9,10,0,0,
STR1,strasbourg,1,d,0,7,autre,1,0,1,5,5,5,5,ESP,3,7,4,7,NA,7,6,8,3,4,4,3,5,4,3,5,4,4,4,4,4,5,4,3,3,5,4,5,8,NA,3,7,6,NR,0,0,0,7,3,9,0,8,0,9,10,0,0,5,2,1,5,8,1,10,2,5,0,9,0,9,1,NA,"organisation, accueil",8,4,9,9,9,9,8,5,0,0,
STR1,strasbourg,1,e,0,4,etudiant,0,0,0,0,0,0,0,ESP,9,0,2,5,10,4,4,9,8,5,0,5,8,4,2,8,5,5,10,6,5,9,10,7,2,4,2,3,2,0,1,10,8,10,0,4,5,6,2,10,5,3,5,5,5,5,0,7,8,6,5,1,5,4,4,5,5,5,5,5,0,"pause, long",echange,6,4,8,6,9,8,5,7,0,0,
STR1,strasbourg,1,f,0,1,cadre,0,0,0,7,7,7,7,ESP,9,9,10,5,10,9,6,9,5,5,5,5,NA,NA,NA,NA,9,9,9,9,NA,NA,NA,NA,4,NA,4,NA,7,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
STR2,strasbourg,2,a,0,10,retraite,2,0,0,0,0,0,0,ESP,3,10,8,9,5,9,8,8,2,6,5,6,3,8,5,8,10,10,10,10,5,5,5,5,7,8,7,7,5,2,5,5,5,8,3,8,8,8,3,8,3,8,3,5,10,0,1,1,9,8,7,2,2,9,5,9,1,9,3,8,1,NA,ecoute,9,7,10,7,10,9,7,8,0,1,
STR2,strasbourg,2,b,0,6,retraite,2,1,0,0,0,0,0,ESP,10,6,4,5,10,8,5,5,10,4,3,4,10,7,4,4,2,6,6,6,1,4,6,7,6,5,2,1,2,1,5,5,6,7,0,8,7,7,2,7,5,6,5,4,5,9,1,1,7,2,3,5,1,7,1,6,5,6,5,4,0,"seconde, proposition",NA,3,5,5,6,8,7,4,5,0,0,
STR2,strasbourg,2,c,1,7,cadre,0,0,0,6,3,8,5,ESP,7,3,8,5,7,5,7,8,6,5,7,7,7,6,6,7,7,7,7,7,5,5,5,5,5,7,7,7,7,0,2,2,8,8,5,6,3,8,6,6,3,3,3,7,10,1,1,1,9,6,6,3,3,7,7,4,5,5,6,8,0,"adjoint au maire, ministere","gens, interet",8,7,9,5,8,9,6,3,0,0,
STR2,strasbourg,2,d,0,8,NA,0,0,1,8,8,8,8,ESP,10,10,10,NA,10,10,10,10,7,9,10,NA,7,8,8,10,8,5,5,5,8,8,8,8,5,7,4,5,7,0,0,0,0,7,0,4,5,7,5,9,5,5,0,7,10,0,0,0,10,7,7,3,3,10,5,10,0,10,0,8,0,NA,NA,8,6,10,10,10,10,7,8,0,0,
STR2,strasbourg,2,e,0,6,ouv_qualifie,0,0,0,5,6,5,5,ESP,6,7,7,6,5,5,7,6,5,6,NA,6,5,6,7,6,3,3,3,3,4,5,3,5,5,5,6,5,6,3,3,5,4,9,2,9,3,9,4,9,2,9,2,6,5,2,3,2,2,6,3,10,6,9,2,8,3,7,7,7,0,NA,NA,4,2,8,4,6,7,2,4,0,0,
STR3,strasbourg,3,b,1,8,retraite,0,0,0,5,5,5,5,ESP,9,9,9,9,9,9,9,9,6,6,7,7,6,7,7,7,8,8,8,8,7,7,6,7,NA,7,3,5,7,0,0,2,1,6,2,2,2,9,5,9,1,9,1,8,5,0,0,0,9,5,1,1,1,9,4,7,1,8,1,9,0,rapide,"travail de groupe, implication, discussion, ecoute",7,4,7,7,8,9,8,10,0,0,
STR3,strasbourg,3,c,1,6,autre,2,0,1,10,6,10,5,ESP,10,10,10,5,10,10,10,10,10,NA,6,4,10,7,6,7,10,10,8,5,3,7,4,4,8,9,8,9,5,0,0,1,9,8,3,6,5,10,8,10,1,10,1,10,8,0,0,0,9,3,8,0,0,10,8,10,9,10,1,10,0,"seul, petit, bemol, proposition","engagement, solution, abri, enthousiasme, eux-meme",10,9,9,10,10,10,8,NA,0,0,
STR3,strasbourg,3,d,1,7,cadre,0,0,0,7,5,7,7,ESP,9,7,7,5,9,9,7,9,7,5,7,5,7,7,6,9,8,8,8,8,10,8,10,8,8,8,7,8,8,3,3,2,8,5,1,7,5,9,5,10,2,9,2,8,10,0,0,0,10,7,8,0,0,9,7,10,2,10,2,8,0,NA,"opinion, different, confrontation, idee, horizon, citoyen, pluralite, objectif, nouveau",10,10,10,9,10,10,9,10,0,0,
STR3,strasbourg,3,e,0,8,cadre,0,0,0,0,0,0,0,ESP,10,9,9,9,10,10,9,10,7,5,5,4,7,6,4,7,9,9,6,6,7,7,5,7,6,7,1,5,8,3,3,2,7,8,8,5,6,8,1,9,2,9,1,9,10,0,0,1,8,3,7,3,1,9,1,9,8,8,2,9,1,"proposition, vote, absence, individuel","possibilite, consensus, bonne volonte, gens",8,6,9,8,10,7,7,10,0,0,
STR3,strasbourg,3,f,0,5,retraite,0,0,0,5,2,0,5,ESP,10,8,8,8,10,8,8,9,8,7,3,7,8,8,2,3,10,9,10,9,9,7,10,7,9,8,5,8,5,0,0,2,10,10,0,5,0,5,5,10,5,10,0,5,10,0,0,0,8,8,7,0,0,10,5,9,1,10,0,10,0,NA,"deploye, niveau, debat, energie, interet",9,9,10,9,9,9,NA,10,0,0,
STR4,strasbourg,4,a,0,7,retraite,0,0,0,6,5,3,4,ESP,9,9,6,8,NA,NA,NA,NA,5,5,4,3,NA,NA,NA,NA,6,5,8,8,NA,NA,NA,NA,6,NA,6,NA,6,6,6,7,9,9,4,8,7,8,5,8,8,8,1,8,6,7,6,4,9,5,3,3,5,9,7,9,7,5,7,9,NA,NA,"excellent, debat, ouvert",7,6,8,NA,NA,NA,7,8,0,0,
STR4,strasbourg,4,b,0,5,retraite,0,0,1,NA,NA,NA,NA,ESP,2,7,5,4,2,6,6,2,NA,NA,NA,NA,2,6,6,3,NA,NA,NA,NA,3,5,4,NA,7,6,3,3,10,0,0,7,8,10,5,8,3,9,4,9,7,10,4,9,10,0,0,7,8,6,2,3,0,10,3,9,0,9,2,10,0,NA,NA,5,NA,10,4,NA,8,2,3,0,0,
STR4,strasbourg,4,d,0,7,intermediaire,0,0,0,0,0,3,3,ESP,6,8,8,8,6,8,7,8,4,8,6,8,5,8,6,8,8,8,8,8,8,8,7,8,7,8,6,6,10,2,4,5,7,6,2,7,7,8,5,7,6,8,5,7,8,2,3,2,7,6,3,3,3,7,5,7,5,7,3,4,1,"theme, euro, aborde, france, europeen, traite","collectif, bon respect, implication",7,7,8,7,8,9,7,9,0,0,
STR4,strasbourg,4,e,0,10,retraite,2,0,1,6,5,10,9,ESP,8,7,9,9,8,8,8,10,6,7,7,8,9,7,8,9,3,6,6,7,10,9,9,9,8,9,8,7,8,8,5,6,7,10,5,5,6,10,8,9,5,8,2,8,10,0,10,1,8,8,8,8,1,10,7,10,8,8,0,9,0,,,10,8,10,9,10,10,9,9,1,0,
STR4,strasbourg,4,e,1,NA,retraite,0,0,0,3,5,7,7,ESP,6,5,5,8,7,4,4,8,5,7,5,7,6,6,3,7,2,2,2,2,5,5,3,8,NA,9,5,3,NA,2,NA,2,5,7,0,NA,5,5,5,8,2,7,2,4,9,0,0,0,8,7,2,0,0,10,4,9,0,8,0,5,0,,,9,8,8,8,8,10,8,7,1,0,
STR5,strasbourg,5,a,1,6,intermediaire,1,0,0,0,0,0,0,FDP,10,10,7,6,10,10,10,10,7,8,4,5,6,7,6,6,10,8,7,7,10,10,10,10,5,7,6,7,9,3,2,2,7,5,4,NA,4,9,5,10,5,10,3,7,10,2,1,2,9,2,5,0,0,10,7,9,8,8,3,7,0,"particulier, cas, theme, probleme",NA,9,10,9,9,10,10,7,7,0,0,
STR5,strasbourg,5,b,0,6,retraite,0,0,0,6,6,6,6,FDP,10,10,10,10,10,7,8,5,6,5,6,6,6,4,5,4,10,10,10,10,8,8,8,8,5,5,5,5,8,3,3,3,8,7,7,3,3,7,5,8,3,8,1,7,7,2,2,2,8,8,8,1,0,8,5,8,0,8,0,5,1,NA,NA,8,8,8,6,7,7,7,7,0,0,
STR5,strasbourg,5,c,1,8,cadre,1,0,1,0,7,0,7,FDP,6,9,2,10,8,8,8,8,1,9,2,9,6,6,5,8,10,5,10,5,8,7,9,9,10,9,6,8,7,5,5,9,9,10,2,10,8,9,6,9,7,7,6,7,8,4,0,0,0,10,6,0,0,10,4,9,5,9,5,9,0,NA,"respect, gens, debat, qualite",9,7,8,7,10,10,8,10,0,0,
STR5,strasbourg,5,d,1,8,cadre,0,0,0,0,0,0,0,FDP,10,8,2,4,10,10,10,7,8,6,2,5,8,7,6,5,1,3,9,6,1,3,4,6,3,7,2,6,8,0,2,2,8,8,2,5,2,9,0,9,3,9,2,7,8,1,3,3,9,9,9,3,2,9,1,10,1,10,5,NA,0,"opportunite, occasion, groupe, innovant, proposition","ambiance, bon",8,5,7,8,8,8,7,10,0,0,
STR5,strasbourg,5,e,0,2,ouv_qualifie,0,0,0,3,4,2,8,FDP,7,7,7,9,9,8,7,9,3,3,3,4,3,3,3,3,5,5,5,5,8,8,8,8,NA,8,7,4,10,10,8,8,9,9,8,6,4,9,5,9,3,9,1,5,9,2,0,0,10,8,4,0,1,10,6,10,2,10,0,9,0,NA,echange,9,8,9,8,7,9,10,10,0,0,
STR6,strasbourg,6,a,0,8,intermediaire,0,0,0,6,4,5,5,FDP,8,7,8,8,7,7,8,7,5,5,5,5,7,7,7,7,5,5,5,5,6,6,4,6,5,7,5,7,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8,6,5,7,8,7,5,5,7,8,6,9,7,8,6,2,0,NA,"discussion, divers",9,7,8,8,8,9,8,10,0,0,
STR6,strasbourg,6,b,0,8,intermediaire,0,0,1,5,8,7,8,FDP,10,10,10,10,10,10,10,10,8,3,7,7,7,6,5,6,9,10,7,9,9,8,7,8,4,5,2,5,5,4,3,5,7,7,6,6,5,6,3,7,7,7,4,7,8,4,3,2,7,5,5,7,2,8,3,8,7,8,4,7,0,temps,"gentillesse, bonne volonte, gens",8,4,8,5,8,8,7,10,0,0,
STR6,strasbourg,6,c,0,7,intermediaire,0,0,0,5,5,5,0,FDP,9,3,5,5,8,7,7,7,7,5,6,4,7,5,6,5,3,8,9,5,6,7,8,8,5,3,7,7,7,1,1,7,7,5,1,8,2,8,4,9,8,3,7,4,3,1,2,4,7,7,5,3,3,8,5,7,7,7,7,6,0,empressement ,NA,8,2,8,6,8,6,2,6,0,0,
STR6,strasbourg,6,d,1,8,NA,0,0,0,6,4,0,8,FDP,8,5,5,9,10,10,10,10,5,5,4,6,6,5,5,5,5,5,8,5,7,8,8,6,6,5,4,5,5,0,0,5,10,6,2,5,5,10,3,5,4,7,3,4,10,0,1,1,10,2,5,2,5,10,3,7,5,8,5,3,0,"passage, emmanuelle","implication, participant",8,6,8,6,8,8,6,5,0,0,
STR6,strasbourg,6,e,1,9,cadre,2,NA,0,0,0,0,0,FDP,10,10,7,7,9,9,9,9,9,8,8,9,8,9,9,8,5,5,5,5,6,6,8,6,6,5,4,5,3,0,0,0,7,6,0,2,2,9,6,10,3,7,2,5,2,0,0,0,8,0,2,4,7,10,4,10,0,9,2,5,1,rapide,NA,9,7,8,8,8,7,7,10,0,0,
